starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
21.358,132.93,212.54,1.0457,5.2844,2193,33.157,169.95,324.49,34.334,19.781,165.26,180.28,179.85,180.89,182.77,180.35,170.88,30.875,9.7286,126.49,43.568,16.676
23.101,143.85,212.3,1.111,5.7995,2345.5,64.609,169.95,324.91,34.77,21.39,197.1,211.97,211.42,212.41,212.06,211.64,170.88,59.875,9.7363,134.24,44.71,16.739
23.561,144.41,212.63,1.111,5.7935,2354.2,82.781,170.11,324.91,35.56,23.288,214.7,229.54,229.76,230.6,229.52,229.49,170.88,77.125,9.7363,133.94,44.71,16.461
23.221,144.29,212.4,1.111,5.6587,2351.1,99.641,170.56,325.91,42.217,25.755,244.41,258.59,258.96,259.26,258.07,258.76,173.5,95.25,9.7301,134.65,44.698,17.693
23.465,143.52,212.4,1.111,5.6864,2354.7,99.236,170.26,325.91,41.061,25.755,230.99,246.21,245.74,245.93,246.16,246.96,172.43,96,9.7611,133.33,44.476,16.027
23.275,143.09,211.95,1.111,5.6367,2345.9,99.534,170.78,327.27,41.134,26.002,237.58,252.44,253.38,252.1,252.8,253.78,174.38,96.875,9.7231,132.49,44.476,18.976
23.141,143.17,211.78,1.111,5.6582,2338.4,72.112,170.11,330.91,39.64,26.333,203.47,219.34,218.97,219.61,219.56,219.1,172.92,68.875,9.6959,133.17,44.454,16.79
23.131,142.96,209.98,1.111,5.6582,2329,72.481,170.41,325.27,33.778,26.74,208.56,219.59,219.23,219.61,222.7,223.65,171.88,69.125,9.6434,132.22,44.563,16.798
23.131,144.07,211.03,1.0653,5.6353,2335.9,76.429,169.34,328.42,35.701,24.428,204.8,223.49,223.59,219.39,222.7,223.65,171.88,72.875,9.7392,131.97,44.688,16.798
22.77,142.2,211.55,1.1032,5.7692,2331.1,76.429,169.79,323.97,34.262,22.95,207.71,223.49,223.59,224.29,222.77,223.67,171.89,72.875,9.6849,131.68,43.928,16.852
23.065,141.13,212.69,1.1032,5.7589,2332.5,83.531,168.94,333.69,39.559,25.626,215.68,230.95,230.38,230.92,230.9,230.65,172,77,9.718,131.5,44.555,16.822
26.34,162.22,217.67,1.2233,6.7678,2660,70.137,170.32,314.19,54.459,45.716,219.14,234.87,235,235,234.91,234.85,179.71,69.08,10.463,154.52,47.218,20.001
26.805,161.57,217.54,1.3139,6.4328,2678.8,55.287,169.59,319.89,35.968,30.269,219.14,234.87,235,235,234.91,234.85,174.75,55.75,10.645,155.48,48.214,18.37
27.454,165.58,216.06,1.3216,6.5756,2726.9,58.872,168.94,333.87,35.755,30.21,223.57,239,238.57,238.91,239.14,238.98,173,57.657,10.809,159.39,49.019,19.014
